;ID,ID_F,NAME_F,LF,WF,ZPjy,ZPerg
3,2,IMEGACAM,0.76,0.12,2569.47,1.37e-09
3,3,ZMEGACAM,0.88,0.1,2251.78,8.727999999999999e-10
97,2,IMEGACAM,0.76,0.12,2569.47,1.37e-09
97,3,ZMEGACAM,0.88,0.1,2251.78,8.727999999999999e-10
172,29,ZSDSS,0.89,0.11,2227.03,8.385850000000001e-10
178,36,WFIRCousins,0.6482,0.154,3033.45,2.164e-09
178,37,WFIICousins,0.86,0.151,2297.88,9.297000000000001e-10
178,38,WFIz,0.96,0.0515,2209.9,7.23217e-10
180,36,WFIRCousins,0.6482,0.154,3033.45,2.164e-09
180,38,WFIz,0.96,0.0515,2209.9,7.23217e-10
198,40,SAORCousin,0.64,0.14,3072.83,2.2456300000000002e-09
198,39,FLWOICousins,0.78,0.10099999999999999,2452.02,1.19e-09
198,29,ZSDSS,0.89,0.11,2227.03,8.385850000000001e-10
199,39,FLWOICousins,0.78,0.10099999999999999,2452.02,1.19e-09
200,39,FLWOICousins,0.78,0.10099999999999999,2452.02,1.19e-09
206,50,DENIS-I,0.7859999999999999,0.113,2439.72,1.1728e-09
207,50,DENIS-I,0.7859999999999999,0.113,2439.72,1.1728e-09
327,37,WFIICousins,0.86,0.151,2297.88,9.297000000000001e-10
327,38,WFIz,0.96,0.0515,2209.9,7.23217e-10
3,10,IRAC1,3.5,0.68,277.22,6.755e-12
3,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
3,12,IRAC3,5.6,1.3,113.85,1.078e-12
3,13,IRAC4,8.5,2.5,62.0,3.227e-13
3,14,MIPS1,23.2,5.2,7.07,3.936e-15
35,10,IRAC1,3.5,0.68,277.22,6.755e-12
35,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
35,12,IRAC3,5.6,1.3,113.85,1.078e-12
35,13,IRAC4,8.5,2.5,62.0,3.227e-13
35,14,MIPS1,23.2,5.2,7.07,3.936e-15
34,10,IRAC1,3.5,0.68,277.22,6.755e-12
34,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
34,12,IRAC3,5.6,1.3,113.85,1.078e-12
34,13,IRAC4,8.5,2.5,62.0,3.227e-13
34,14,MIPS1,23.2,5.2,7.07,3.936e-15
34,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
38,10,IRAC1,3.5,0.68,277.22,6.755e-12
38,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
38,12,IRAC3,5.6,1.3,113.85,1.078e-12
38,13,IRAC4,8.5,2.5,62.0,3.227e-13
38,14,MIPS1,23.2,5.2,7.07,3.936e-15
38,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
142,10,IRAC1,3.5,0.68,277.22,6.755e-12
142,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
142,12,IRAC3,5.6,1.3,113.85,1.078e-12
142,13,IRAC4,8.5,2.5,62.0,3.227e-13
142,14,MIPS1,23.2,5.2,7.07,3.936e-15
97,10,IRAC1,3.5,0.68,277.22,6.755e-12
97,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
97,12,IRAC3,5.6,1.3,113.85,1.078e-12
97,13,IRAC4,8.5,2.5,62.0,3.227e-13
97,14,MIPS1,23.2,5.2,7.07,3.936e-15
97,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
0,10,IRAC1,3.5,0.68,277.22,6.755e-12
0,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
0,12,IRAC3,5.6,1.3,113.85,1.078e-12
0,13,IRAC4,8.5,2.5,62.0,3.227e-13
0,14,MIPS1,23.2,5.2,7.07,3.936e-15
0,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
0,16,MIPS3,152.6,35.75,0.16,2.0330000000000003e-18
1,10,IRAC1,3.5,0.68,277.22,6.755e-12
1,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
1,12,IRAC3,5.6,1.3,113.85,1.078e-12
1,13,IRAC4,8.5,2.5,62.0,3.227e-13
1,14,MIPS1,23.2,5.2,7.07,3.936e-15
2,10,IRAC1,3.5,0.68,277.22,6.755e-12
2,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
2,12,IRAC3,5.6,1.3,113.85,1.078e-12
2,13,IRAC4,8.5,2.5,62.0,3.227e-13
2,14,MIPS1,23.2,5.2,7.07,3.936e-15
4,10,IRAC1,3.5,0.68,277.22,6.755e-12
4,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
4,12,IRAC3,5.6,1.3,113.85,1.078e-12
4,13,IRAC4,8.5,2.5,62.0,3.227e-13
4,14,MIPS1,23.2,5.2,7.07,3.936e-15
5,10,IRAC1,3.5,0.68,277.22,6.755e-12
5,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
5,12,IRAC3,5.6,1.3,113.85,1.078e-12
5,13,IRAC4,8.5,2.5,62.0,3.227e-13
5,14,MIPS1,23.2,5.2,7.07,3.936e-15
5,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
6,13,IRAC4,8.5,2.5,62.0,3.227e-13
6,14,MIPS1,23.2,5.2,7.07,3.936e-15
6,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
7,10,IRAC1,3.5,0.68,277.22,6.755e-12
7,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
7,12,IRAC3,5.6,1.3,113.85,1.078e-12
7,13,IRAC4,8.5,2.5,62.0,3.227e-13
7,14,MIPS1,23.2,5.2,7.07,3.936e-15
7,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
8,10,IRAC1,3.5,0.68,277.22,6.755e-12
8,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
8,12,IRAC3,5.6,1.3,113.85,1.078e-12
8,13,IRAC4,8.5,2.5,62.0,3.227e-13
8,14,MIPS1,23.2,5.2,7.07,3.936e-15
9,10,IRAC1,3.5,0.68,277.22,6.755e-12
9,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
9,12,IRAC3,5.6,1.3,113.85,1.078e-12
9,13,IRAC4,8.5,2.5,62.0,3.227e-13
9,14,MIPS1,23.2,5.2,7.07,3.936e-15
10,10,IRAC1,3.5,0.68,277.22,6.755e-12
10,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
10,12,IRAC3,5.6,1.3,113.85,1.078e-12
10,13,IRAC4,8.5,2.5,62.0,3.227e-13
10,14,MIPS1,23.2,5.2,7.07,3.936e-15
11,10,IRAC1,3.5,0.68,277.22,6.755e-12
11,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
11,12,IRAC3,5.6,1.3,113.85,1.078e-12
11,13,IRAC4,8.5,2.5,62.0,3.227e-13
11,14,MIPS1,23.2,5.2,7.07,3.936e-15
12,10,IRAC1,3.5,0.68,277.22,6.755e-12
12,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
12,12,IRAC3,5.6,1.3,113.85,1.078e-12
12,13,IRAC4,8.5,2.5,62.0,3.227e-13
12,14,MIPS1,23.2,5.2,7.07,3.936e-15
12,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
13,10,IRAC1,3.5,0.68,277.22,6.755e-12
13,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
13,12,IRAC3,5.6,1.3,113.85,1.078e-12
13,13,IRAC4,8.5,2.5,62.0,3.227e-13
13,14,MIPS1,23.2,5.2,7.07,3.936e-15
14,10,IRAC1,3.5,0.68,277.22,6.755e-12
14,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
14,12,IRAC3,5.6,1.3,113.85,1.078e-12
14,13,IRAC4,8.5,2.5,62.0,3.227e-13
14,14,MIPS1,23.2,5.2,7.07,3.936e-15
15,10,IRAC1,3.5,0.68,277.22,6.755e-12
15,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
15,12,IRAC3,5.6,1.3,113.85,1.078e-12
15,13,IRAC4,8.5,2.5,62.0,3.227e-13
15,14,MIPS1,23.2,5.2,7.07,3.936e-15
16,10,IRAC1,3.5,0.68,277.22,6.755e-12
16,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
16,12,IRAC3,5.6,1.3,113.85,1.078e-12
16,13,IRAC4,8.5,2.5,62.0,3.227e-13
16,14,MIPS1,23.2,5.2,7.07,3.936e-15
17,10,IRAC1,3.5,0.68,277.22,6.755e-12
17,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
17,12,IRAC3,5.6,1.3,113.85,1.078e-12
17,13,IRAC4,8.5,2.5,62.0,3.227e-13
17,14,MIPS1,23.2,5.2,7.07,3.936e-15
18,10,IRAC1,3.5,0.68,277.22,6.755e-12
18,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
18,12,IRAC3,5.6,1.3,113.85,1.078e-12
18,13,IRAC4,8.5,2.5,62.0,3.227e-13
18,14,MIPS1,23.2,5.2,7.07,3.936e-15
19,10,IRAC1,3.5,0.68,277.22,6.755e-12
19,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
19,12,IRAC3,5.6,1.3,113.85,1.078e-12
19,13,IRAC4,8.5,2.5,62.0,3.227e-13
19,14,MIPS1,23.2,5.2,7.07,3.936e-15
20,10,IRAC1,3.5,0.68,277.22,6.755e-12
20,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
20,12,IRAC3,5.6,1.3,113.85,1.078e-12
20,13,IRAC4,8.5,2.5,62.0,3.227e-13
20,14,MIPS1,23.2,5.2,7.07,3.936e-15
21,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
21,12,IRAC3,5.6,1.3,113.85,1.078e-12
21,14,MIPS1,23.2,5.2,7.07,3.936e-15
22,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
22,12,IRAC3,5.6,1.3,113.85,1.078e-12
22,14,MIPS1,23.2,5.2,7.07,3.936e-15
23,10,IRAC1,3.5,0.68,277.22,6.755e-12
23,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
23,12,IRAC3,5.6,1.3,113.85,1.078e-12
23,13,IRAC4,8.5,2.5,62.0,3.227e-13
23,14,MIPS1,23.2,5.2,7.07,3.936e-15
25,10,IRAC1,3.5,0.68,277.22,6.755e-12
25,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
25,12,IRAC3,5.6,1.3,113.85,1.078e-12
25,13,IRAC4,8.5,2.5,62.0,3.227e-13
25,14,MIPS1,23.2,5.2,7.07,3.936e-15
24,10,IRAC1,3.5,0.68,277.22,6.755e-12
24,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
24,12,IRAC3,5.6,1.3,113.85,1.078e-12
24,13,IRAC4,8.5,2.5,62.0,3.227e-13
24,14,MIPS1,23.2,5.2,7.07,3.936e-15
26,10,IRAC1,3.5,0.68,277.22,6.755e-12
26,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
26,12,IRAC3,5.6,1.3,113.85,1.078e-12
26,13,IRAC4,8.5,2.5,62.0,3.227e-13
26,14,MIPS1,23.2,5.2,7.07,3.936e-15
27,10,IRAC1,3.5,0.68,277.22,6.755e-12
27,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
27,12,IRAC3,5.6,1.3,113.85,1.078e-12
27,13,IRAC4,8.5,2.5,62.0,3.227e-13
27,14,MIPS1,23.2,5.2,7.07,3.936e-15
28,10,IRAC1,3.5,0.68,277.22,6.755e-12
28,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
28,12,IRAC3,5.6,1.3,113.85,1.078e-12
28,13,IRAC4,8.5,2.5,62.0,3.227e-13
28,14,MIPS1,23.2,5.2,7.07,3.936e-15
29,10,IRAC1,3.5,0.68,277.22,6.755e-12
29,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
29,12,IRAC3,5.6,1.3,113.85,1.078e-12
29,13,IRAC4,8.5,2.5,62.0,3.227e-13
29,14,MIPS1,23.2,5.2,7.07,3.936e-15
30,10,IRAC1,3.5,0.68,277.22,6.755e-12
30,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
30,12,IRAC3,5.6,1.3,113.85,1.078e-12
30,13,IRAC4,8.5,2.5,62.0,3.227e-13
30,14,MIPS1,23.2,5.2,7.07,3.936e-15
31,10,IRAC1,3.5,0.68,277.22,6.755e-12
31,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
31,12,IRAC3,5.6,1.3,113.85,1.078e-12
31,13,IRAC4,8.5,2.5,62.0,3.227e-13
31,14,MIPS1,23.2,5.2,7.07,3.936e-15
32,10,IRAC1,3.5,0.68,277.22,6.755e-12
32,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
32,12,IRAC3,5.6,1.3,113.85,1.078e-12
32,13,IRAC4,8.5,2.5,62.0,3.227e-13
32,14,MIPS1,23.2,5.2,7.07,3.936e-15
33,10,IRAC1,3.5,0.68,277.22,6.755e-12
33,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
33,12,IRAC3,5.6,1.3,113.85,1.078e-12
33,13,IRAC4,8.5,2.5,62.0,3.227e-13
33,14,MIPS1,23.2,5.2,7.07,3.936e-15
37,10,IRAC1,3.5,0.68,277.22,6.755e-12
37,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
37,12,IRAC3,5.6,1.3,113.85,1.078e-12
37,13,IRAC4,8.5,2.5,62.0,3.227e-13
37,14,MIPS1,23.2,5.2,7.07,3.936e-15
39,10,IRAC1,3.5,0.68,277.22,6.755e-12
39,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
39,12,IRAC3,5.6,1.3,113.85,1.078e-12
39,13,IRAC4,8.5,2.5,62.0,3.227e-13
39,14,MIPS1,23.2,5.2,7.07,3.936e-15
39,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
40,10,IRAC1,3.5,0.68,277.22,6.755e-12
40,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
40,12,IRAC3,5.6,1.3,113.85,1.078e-12
40,13,IRAC4,8.5,2.5,62.0,3.227e-13
40,14,MIPS1,23.2,5.2,7.07,3.936e-15
41,10,IRAC1,3.5,0.68,277.22,6.755e-12
41,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
41,12,IRAC3,5.6,1.3,113.85,1.078e-12
41,13,IRAC4,8.5,2.5,62.0,3.227e-13
41,14,MIPS1,23.2,5.2,7.07,3.936e-15
42,10,IRAC1,3.5,0.68,277.22,6.755e-12
42,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
42,12,IRAC3,5.6,1.3,113.85,1.078e-12
42,13,IRAC4,8.5,2.5,62.0,3.227e-13
42,14,MIPS1,23.2,5.2,7.07,3.936e-15
43,10,IRAC1,3.5,0.68,277.22,6.755e-12
43,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
43,12,IRAC3,5.6,1.3,113.85,1.078e-12
43,13,IRAC4,8.5,2.5,62.0,3.227e-13
43,14,MIPS1,23.2,5.2,7.07,3.936e-15
45,13,IRAC4,8.5,2.5,62.0,3.227e-13
45,14,MIPS1,23.2,5.2,7.07,3.936e-15
45,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
46,10,IRAC1,3.5,0.68,277.22,6.755e-12
46,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
46,12,IRAC3,5.6,1.3,113.85,1.078e-12
46,13,IRAC4,8.5,2.5,62.0,3.227e-13
46,14,MIPS1,23.2,5.2,7.07,3.936e-15
46,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
47,10,IRAC1,3.5,0.68,277.22,6.755e-12
47,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
47,12,IRAC3,5.6,1.3,113.85,1.078e-12
47,13,IRAC4,8.5,2.5,62.0,3.227e-13
47,14,MIPS1,23.2,5.2,7.07,3.936e-15
48,10,IRAC1,3.5,0.68,277.22,6.755e-12
48,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
48,12,IRAC3,5.6,1.3,113.85,1.078e-12
48,13,IRAC4,8.5,2.5,62.0,3.227e-13
48,14,MIPS1,23.2,5.2,7.07,3.936e-15
49,10,IRAC1,3.5,0.68,277.22,6.755e-12
49,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
49,13,IRAC4,8.5,2.5,62.0,3.227e-13
49,14,MIPS1,23.2,5.2,7.07,3.936e-15
49,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
50,10,IRAC1,3.5,0.68,277.22,6.755e-12
50,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
50,13,IRAC4,8.5,2.5,62.0,3.227e-13
50,14,MIPS1,23.2,5.2,7.07,3.936e-15
51,12,IRAC3,5.6,1.3,113.85,1.078e-12
51,13,IRAC4,8.5,2.5,62.0,3.227e-13
51,14,MIPS1,23.2,5.2,7.07,3.936e-15
58,10,IRAC1,3.5,0.68,277.22,6.755e-12
58,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
58,12,IRAC3,5.6,1.3,113.85,1.078e-12
58,13,IRAC4,8.5,2.5,62.0,3.227e-13
58,14,MIPS1,23.2,5.2,7.07,3.936e-15
58,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
59,10,IRAC1,3.5,0.68,277.22,6.755e-12
59,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
59,12,IRAC3,5.6,1.3,113.85,1.078e-12
59,13,IRAC4,8.5,2.5,62.0,3.227e-13
59,14,MIPS1,23.2,5.2,7.07,3.936e-15
60,10,IRAC1,3.5,0.68,277.22,6.755e-12
60,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
60,12,IRAC3,5.6,1.3,113.85,1.078e-12
60,13,IRAC4,8.5,2.5,62.0,3.227e-13
60,14,MIPS1,23.2,5.2,7.07,3.936e-15
61,10,IRAC1,3.5,0.68,277.22,6.755e-12
61,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
61,12,IRAC3,5.6,1.3,113.85,1.078e-12
61,13,IRAC4,8.5,2.5,62.0,3.227e-13
61,14,MIPS1,23.2,5.2,7.07,3.936e-15
61,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
62,10,IRAC1,3.5,0.68,277.22,6.755e-12
62,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
62,12,IRAC3,5.6,1.3,113.85,1.078e-12
62,13,IRAC4,8.5,2.5,62.0,3.227e-13
62,14,MIPS1,23.2,5.2,7.07,3.936e-15
63,10,IRAC1,3.5,0.68,277.22,6.755e-12
63,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
63,12,IRAC3,5.6,1.3,113.85,1.078e-12
63,13,IRAC4,8.5,2.5,62.0,3.227e-13
63,14,MIPS1,23.2,5.2,7.07,3.936e-15
84,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
84,13,IRAC4,8.5,2.5,62.0,3.227e-13
84,14,MIPS1,23.2,5.2,7.07,3.936e-15
85,10,IRAC1,3.5,0.68,277.22,6.755e-12
85,12,IRAC3,5.6,1.3,113.85,1.078e-12
85,14,MIPS1,23.2,5.2,7.07,3.936e-15
87,12,IRAC3,5.6,1.3,113.85,1.078e-12
87,13,IRAC4,8.5,2.5,62.0,3.227e-13
87,14,MIPS1,23.2,5.2,7.07,3.936e-15
64,10,IRAC1,3.5,0.68,277.22,6.755e-12
64,12,IRAC3,5.6,1.3,113.85,1.078e-12
64,14,MIPS1,23.2,5.2,7.07,3.936e-15
64,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
67,10,IRAC1,3.5,0.68,277.22,6.755e-12
67,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
67,12,IRAC3,5.6,1.3,113.85,1.078e-12
67,13,IRAC4,8.5,2.5,62.0,3.227e-13
67,14,MIPS1,23.2,5.2,7.07,3.936e-15
68,10,IRAC1,3.5,0.68,277.22,6.755e-12
68,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
68,12,IRAC3,5.6,1.3,113.85,1.078e-12
68,13,IRAC4,8.5,2.5,62.0,3.227e-13
68,14,MIPS1,23.2,5.2,7.07,3.936e-15
69,10,IRAC1,3.5,0.68,277.22,6.755e-12
69,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
69,12,IRAC3,5.6,1.3,113.85,1.078e-12
69,13,IRAC4,8.5,2.5,62.0,3.227e-13
69,14,MIPS1,23.2,5.2,7.07,3.936e-15
71,10,IRAC1,3.5,0.68,277.22,6.755e-12
71,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
71,12,IRAC3,5.6,1.3,113.85,1.078e-12
71,13,IRAC4,8.5,2.5,62.0,3.227e-13
71,14,MIPS1,23.2,5.2,7.07,3.936e-15
72,10,IRAC1,3.5,0.68,277.22,6.755e-12
72,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
72,12,IRAC3,5.6,1.3,113.85,1.078e-12
72,13,IRAC4,8.5,2.5,62.0,3.227e-13
72,14,MIPS1,23.2,5.2,7.07,3.936e-15
73,10,IRAC1,3.5,0.68,277.22,6.755e-12
73,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
73,12,IRAC3,5.6,1.3,113.85,1.078e-12
73,13,IRAC4,8.5,2.5,62.0,3.227e-13
73,14,MIPS1,23.2,5.2,7.07,3.936e-15
74,10,IRAC1,3.5,0.68,277.22,6.755e-12
74,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
74,12,IRAC3,5.6,1.3,113.85,1.078e-12
74,13,IRAC4,8.5,2.5,62.0,3.227e-13
74,14,MIPS1,23.2,5.2,7.07,3.936e-15
75,10,IRAC1,3.5,0.68,277.22,6.755e-12
75,12,IRAC3,5.6,1.3,113.85,1.078e-12
75,14,MIPS1,23.2,5.2,7.07,3.936e-15
76,10,IRAC1,3.5,0.68,277.22,6.755e-12
76,12,IRAC3,5.6,1.3,113.85,1.078e-12
76,14,MIPS1,23.2,5.2,7.07,3.936e-15
77,10,IRAC1,3.5,0.68,277.22,6.755e-12
77,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
77,12,IRAC3,5.6,1.3,113.85,1.078e-12
77,13,IRAC4,8.5,2.5,62.0,3.227e-13
77,14,MIPS1,23.2,5.2,7.07,3.936e-15
117,10,IRAC1,3.5,0.68,277.22,6.755e-12
117,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
117,12,IRAC3,5.6,1.3,113.85,1.078e-12
117,13,IRAC4,8.5,2.5,62.0,3.227e-13
117,14,MIPS1,23.2,5.2,7.07,3.936e-15
117,15,MIPS2,68.44,21.3,0.77,4.9270000000000004e-17
166,10,IRAC1,3.5,0.68,277.22,6.755e-12
166,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
166,12,IRAC3,5.6,1.3,113.85,1.078e-12
166,13,IRAC4,8.5,2.5,62.0,3.227e-13
167,10,IRAC1,3.5,0.68,277.22,6.755e-12
167,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
167,12,IRAC3,5.6,1.3,113.85,1.078e-12
167,13,IRAC4,8.5,2.5,62.0,3.227e-13
167,14,MIPS1,23.2,5.2,7.07,3.936e-15
168,10,IRAC1,3.5,0.68,277.22,6.755e-12
168,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
168,12,IRAC3,5.6,1.3,113.85,1.078e-12
168,13,IRAC4,8.5,2.5,62.0,3.227e-13
168,14,MIPS1,23.2,5.2,7.07,3.936e-15
162,10,IRAC1,3.5,0.68,277.22,6.755e-12
162,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
162,12,IRAC3,5.6,1.3,113.85,1.078e-12
162,13,IRAC4,8.5,2.5,62.0,3.227e-13
162,14,MIPS1,23.2,5.2,7.07,3.936e-15
163,10,IRAC1,3.5,0.68,277.22,6.755e-12
163,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
163,12,IRAC3,5.6,1.3,113.85,1.078e-12
163,13,IRAC4,8.5,2.5,62.0,3.227e-13
163,14,MIPS1,23.2,5.2,7.07,3.936e-15
169,10,IRAC1,3.5,0.68,277.22,6.755e-12
169,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
169,12,IRAC3,5.6,1.3,113.85,1.078e-12
169,13,IRAC4,8.5,2.5,62.0,3.227e-13
169,14,MIPS1,23.2,5.2,7.07,3.936e-15
164,10,IRAC1,3.5,0.68,277.22,6.755e-12
164,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
164,12,IRAC3,5.6,1.3,113.85,1.078e-12
164,13,IRAC4,8.5,2.5,62.0,3.227e-13
164,14,MIPS1,23.2,5.2,7.07,3.936e-15
171,10,IRAC1,3.5,0.68,277.22,6.755e-12
171,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
171,12,IRAC3,5.6,1.3,113.85,1.078e-12
171,13,IRAC4,8.5,2.5,62.0,3.227e-13
171,14,MIPS1,23.2,5.2,7.07,3.936e-15
172,10,IRAC1,3.5,0.68,277.22,6.755e-12
172,11,IRAC2,4.5,0.86,179.04,2.7269999999999996e-12
172,12,IRAC3,5.6,1.3,113.85,1.078e-12
172,13,IRAC4,8.5,2.5,62.0,3.227e-13
172,14,MIPS1,23.2,5.2,7.07,3.936e-15
